array,code,name,latitude,longitude,cgm_latitude,cgm_longitude,declination,lshell,mlt_midnight,mlt_ut
USGS,GUA,Dededo,13.59,144.87,9.56,216.93,1.00,1.03,14.76,9.24
USGS,HON,Honolulu,21.32,202.00,22.27,270.97,9.62,1.17,11.16,12.84
USGS,NEW,Colville National Forest,48.27,242.88,54.72,305.77,14.69,3.00,8.84,15.16
USGS,SHU,Sand Point,55.38,199.54,53.38,260.77,12.27,2.81,11.84,12.16
USGS,SIT,Sitka,57.06,224.67,59.74,282.99,19.21,3.94,10.36,13.64
USGS,SJG,Cayey,18.11,293.85,27.07,11.87,-12.79,1.26,4.43,19.57
USGS,TUC,Tucson,32.17,249.27,40.00,316.39,9.81,1.70,8.13,15.87
PENGUIN,PG0,Antarctica,-83.67,88.68,-78.71,38.14,-110.22,26.07,2.68,21.32
PENGUIN,PG1,Antarctica,-85.50,77.20,-76.93,33.36,-100.69,19.55,3.00,21.00
PENGUIN,PG2,Antarctica,-84.42,57.96,-75.63,39.01,-79.53,16.23,2.62,21.38
PENGUIN,PG3,Antarctica,-84.81,37.62,-73.91,36.61,-60.35,13.02,2.78,21.22
PENGUIN,PG4,Antarctica,-83.34,12.25,-71.19,36.29,-35.58,9.62,2.80,21.20
PENGUIN,PG5,Antarctica,-81.96,5.71,-69.81,37.14,-28.92,8.39,2.75,21.25
